ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,170,SKT/33606,DC,DC_CCS
,170,SKT/33607,DC,DC_CCS
,22,SKT/3166,AC,AC_TYPE2
,22,SKT/3168,AC,AC_TYPE2
,180,SKT/3169,DC,DC_CCS
,180,SKT/3837,DC,DC_CCS
,22,SKT/3170,AC,AC_TYPE2
,22,SKT/3171,AC,AC_TYPE2
,22,SKT/3172,AC,AC_TYPE2
,120,SKT/8767,DC,DC_CCS
,120,SKT/8768,DC,DC_CCS
,22,SKT/3310,AC,AC_TYPE2
,120,SKT/3838,DC,DC_CCS
,120,SKT/3839,DC,DC_CCS
,22,SKT/3638,AC,AC_TYPE2
,22,SKT/3669,AC,AC_TYPE2
,22,SKT/3670,AC,AC_TYPE2
,22,SKT/3317,AC,AC_TYPE2
,22,SKT/3455,AC,AC_TYPE2
,22,SKT/3939,AC,AC_TYPE2
,22,SKT/3940,AC,AC_TYPE2
,22,SKT/3322,AC,AC_TYPE2
,22,SKT/3321,AC,AC_TYPE2
,120,SKT/25144,DC,DC_CCS
,120,SKT/25145,DC,DC_CCS
,120,SKT/25059,DC,DC_CCS
,120,SKT/25060,DC,DC_CCS
,22,SKT/23974,AC,AC_TYPE2
,120,SKT/23970,DC,DC_CCS
,120,SKT/23971,DC,DC_CCS
,22,SKT/6220,AC,AC_TYPE2
,180,SKT/15705,DC,DC_CCS
,180,SKT/15706,DC,DC_CCS
,180,SKT/15707,DC,DC_CCS
,180,SKT/15708,DC,DC_CCS
,22,SKT/15709,AC,AC_TYPE2
,22,SKT/15710,AC,AC_TYPE2
,22,SKT/15711,AC,AC_TYPE2
,22,SKT/15712,AC,AC_TYPE2
,22,SKT/3640,AC,AC_TYPE2
,180,SKT/3643,DC,DC_CCS
,180,SKT/3644,DC,DC_CCS
,22,SKT/9619,AC,AC_TYPE2
,22,SKT/11325,AC,AC_TYPE2
,22,SKT/23148,AC,AC_TYPE2
,120,SKT/12396,DC,DC_CCS
,120,SKT/12397,DC,DC_CCS
,22,SKT/3308,AC,AC_TYPE2
,22,SKT/3309,AC,AC_TYPE2
,240,SKT/37594,DC,DC_CCS
,240,SKT/37595,DC,DC_CCS
,240,SKT/37600,DC,DC_CCS
,240,SKT/37601,DC,DC_CCS
,240,SKT/37602,DC,DC_CCS
,240,SKT/37603,DC,DC_CCS
,80,SKT/37606,DC,DC_CCS
,80,SKT/37607,DC,DC_CCS
,50,SKT/37608,DC,DC_CCS
,50,SKT/37609,DC,DC_CCS
,22,SKT/2137,AC,AC_TYPE2
,22,SKT/2138,AC,AC_TYPE2
,400,SKT/31656,DC,DC_CCS
,400,SKT/31657,DC,DC_CCS
,400,SKT/31658,DC,DC_CCS
,400,SKT/31659,DC,DC_CCS
,400,SKT/31660,DC,DC_CCS
,400,SKT/31661,DC,DC_CCS
,400,SKT/31662,DC,DC_CCS
,400,SKT/31663,DC,DC_CCS
,400,SKT/31681,DC,DC_CCS
,400,SKT/31682,DC,DC_CCS
,400,SKT/31683,DC,DC_CCS
,400,SKT/31684,DC,DC_CCS
,400,SKT/31685,DC,DC_CCS
,400,SKT/31686,DC,DC_CCS
,400,SKT/31687,DC,DC_CCS
,400,SKT/31688,DC,DC_CCS
,220,SKT/37610,DC,DC_CCS
,220,SKT/37611,DC,DC_CCS
,10,SKT/37612,AC,AC_TYPE2
,10,SKT/37613,AC,AC_TYPE2
,22,SKT/5590,AC,AC_TYPE2
,120,SKT/37626,DC,DC_CCS
,120,SKT/37627,DC,DC_CCS
,160,SKT/37670,DC,DC_CCS
,160,SKT/37671,DC,DC_CCS
,22,SKT/37672,AC,AC_TYPE2
,240,SKT/37673,DC,DC_CCS
,240,SKT/37674,DC,DC_CCS
,240,SKT/37676,DC,DC_CCS
,240,SKT/37677,DC,DC_CCS
,180,SKT/37683,DC,DC_CCS
,180,SKT/37684,DC,DC_CCS
,180,SKT/37685,DC,DC_CCS
,180,SKT/37686,DC,DC_CCS
,180,SKT/37687,DC,DC_CCS
,180,SKT/37688,DC,DC_CCS
,180,SKT/37689,DC,DC_CCS
,180,SKT/37690,DC,DC_CCS
,11,SKT/37691,AC,AC_TYPE2
,11,SKT/37692,AC,AC_TYPE2
,11,SKT/37693,AC,AC_TYPE2
,11,SKT/37694,AC,AC_TYPE2
,22,SKT/37695,AC,AC_TYPE2
,22,SKT/37696,AC,AC_TYPE2
,21,SKT/37700,AC,AC_TYPE2
,22,SKT/37697,AC,AC_TYPE2
,22,SKT/37698,AC,AC_TYPE2
,120,SKT/37699,DC,DC_CCS
,10,SKT/37701,AC,AC_TYPE2
,11,SKT/37703,AC,AC_TYPE2
,180,SKT/37708,DC,DC_CCS
,180,SKT/37709,DC,DC_CCS
,22,SKT/37713,AC,AC_TYPE2
,22,SKT/37714,AC,AC_TYPE2
,120,SKT/37715,DC,DC_CCS
,120,SKT/37716,DC,DC_CCS
,160,SKT/37719,DC,DC_CCS
,160,SKT/37720,DC,DC_CCS
,22,SKT/37733,AC,AC_TYPE2
,22,SKT/37734,AC,AC_TYPE2
,11,SKT/37738,AC,AC_TYPE2
,60,SKT/37746,DC,DC_CCS
,60,SKT/37748,DC,DC_CCS
,240,SKT/37758,DC,DC_CCS
,240,SKT/37759,DC,DC_CCS
,80,SKT/37760,DC,DC_CCS
,80,SKT/37761,DC,DC_CCS
,22,SKT/37762,AC,AC_TYPE2
,22,SKT/37763,AC,AC_TYPE2
,22,SKT/37764,AC,AC_TYPE2
,180,SKT/37765,DC,DC_CCS
,180,SKT/37766,DC,DC_CCS
,22,SKT/12451,AC,AC_TYPE2
,20,SKT/37772,AC,AC_TYPE2
,20,SKT/37773,AC,AC_TYPE2
,20,SKT/37774,AC,AC_TYPE2
,22,SKT/36929,AC,AC_TYPE2
